name,alt_name,objectid,id,status,type,trauma,owner,ttl_staff,population,beds,helipad,naics_code,naics_desc
STEVENS COUNTY HOSPITAL,STEVENS COUNTY HOSPITAL,1790,6067951,OPEN,CRITICAL ACCESS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,100,100,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SUSAN B ALLEN MEMORIAL HOSPITAL,SUSAN B ALLEN MEM HOSPITAL,1791,1167042,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,68,68,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
JOHNS HOPKINS HOSPITAL,NOT AVAILABLE,1792,921287,OPEN,GENERAL ACUTE CARE,"LEVEL I, LEVEL PEDIATRIC",NON-PROFIT,-999,951,951,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
DE QUEEN MEDICAL CENTER,NOT AVAILABLE,1793,771832,OPEN,CRITICAL ACCESS,NOT AVAILABLE,PROPRIETARY,-999,35,35,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VALLEY BEHAVIORAL HEALTH SYSTEM,NOT AVAILABLE,1794,8272923,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,75,75,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
HOLY FAMILY MEMORIAL INC,NOT AVAILABLE,1795,6054221,OPEN,GENERAL ACUTE CARE,LEVEL III,NON-PROFIT,-999,167,167,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
RIVENDELL BEHAVIORAL HEALTH SERVICES,NOT AVAILABLE,1796,8172019,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,77,77,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
ST. BERNARDS BEHAVIORAL HEALTH,NOT AVAILABLE,1797,3472401,OPEN,PSYCHIATRIC,NOT AVAILABLE,NON-PROFIT,-999,60,60,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
ST. BERNARDS MEDICAL CENTER,NOT AVAILABLE,1798,3672401,OPEN,GENERAL ACUTE CARE,LEVEL III,NON-PROFIT,-999,378,378,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ASHLEY COUNTY MEDICAL CENTER,NOT AVAILABLE,1799,971635,OPEN,CRITICAL ACCESS,LEVEL IV,NON-PROFIT,-999,33,33,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
GREAT RIVER MEDICAL CENTER,NOT AVAILABLE,1800,5272315,OPEN,GENERAL ACUTE CARE,LEVEL IV,GOVERNMENT - LOCAL,-999,168,168,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
NATIONAL PARK MEDICAL CENTER,NOT AVAILABLE,1801,5600000,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,166,166,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HOWARD YOUNG MED CTR,NOT AVAILABLE,1802,9154568,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,99,99,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LITTLE RIVER MEMORIAL HOSPITAL,NOT AVAILABLE,1803,4071822,OPEN,CRITICAL ACCESS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HSHS ST CLARE MEMORIAL HOSPITAL,COMMUNITY MEMORIAL HOSPITAL,1804,150654154,OPEN,CRITICAL ACCESS,LEVEL III,NON-PROFIT,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MERCY ORTHOPEDIC HOSPITAL FORT SMITH,NOT AVAILABLE,1805,13772903,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,24,24,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
NORTHWEST MED CENTER,NOT AVAILABLE,1806,6285741,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,295,295,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PARKWAY REGIONAL HOSPITAL,NOT AVAILABLE,1807,7742041,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,70,70,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HARDIN MEMORIAL HOSPITAL,NOT AVAILABLE,1808,3042701,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,285,285,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHERN KENTUCKY,NOT AVAILABLE,1809,3541017,OPEN,REHABILITATION,NOT AVAILABLE,PROPRIETARY,-999,51,51,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
OHIO COUNTY HOSPITAL,NOT AVAILABLE,1810,7242347,OPEN,CRITICAL ACCESS,NOT AVAILABLE,NON-PROFIT,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
NORTHWEST HEALTH PHYSICIANS' SPECIALTY HOSPITAL,NOT AVAILABLE,1811,61672703,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,20,20,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,NOT AVAILABLE,1812,8381050,OPEN,GENERAL ACUTE CARE,LEVEL IV,NON-PROFIT,-999,78,78,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
UNIVERSITY OF COLORADO HEALTH AT MEMORIAL HOSPITAL CENTRAL,NOT AVAILABLE,1813,155080909,CLOSED,GENERAL ACUTE CARE,LEVEL I,GOVERNMENT - STATE,-999,583,583,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MCLEAN HOSPITAL CORPORATION,NOT AVAILABLE,1814,9902478,OPEN,PSYCHIATRIC,NOT AVAILABLE,NON-PROFIT,-999,294,294,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
PAPPAS REHABILITATION HOSPITAL FOR CHILDREN,MASSACHUSETTS HOSPITAL SCHOOL,1815,11102021,OPEN,CHILDREN,NOT AVAILABLE,GOVERNMENT - STATE,-999,-999,-999,N,622310,"CHILDREN'S HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)"
UNIV OF MD REHABILITATION & ORTHOPAEDIC INSTITUTE,KERNAN HOSPITAL,1816,103221207,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NOT AVAILABLE,-999,138,138,N,622310,ORTHOPEDIC HOSPITALS
UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER,UPPER CHESAPEAKE MEDICAL CENTER,1817,103921014,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - STATE,-999,170,170,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
EDWARD MCCREADY MEMORIAL HOSPITAL,NOT AVAILABLE,1818,3221817,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,89,89,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ENCOMPASS HEALTH REHAB HOSPITAL OF SALISBURY,NOT AVAILABLE,1819,4021801,OPEN,REHABILITATION,NOT AVAILABLE,PROPRIETARY,-999,54,54,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
NORTHERN LIGHT HEALTH,NOT AVAILABLE,1820,3704101,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,230,230,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VA MEDICAL CENTER - BATTLE CREEK,NOT AVAILABLE,1821,7749037,OPEN,MILITARY,NOT AVAILABLE,GOVERNMENT - FEDERAL,-999,-999,-999,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SHERIDAN COMMUNITY HOSPITAL,NOT AVAILABLE,1822,8448884,OPEN,CRITICAL ACCESS,NOT AVAILABLE,NON-PROFIT,-999,22,22,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,NOT AVAILABLE,1823,7549781,OPEN,CRITICAL ACCESS,NOT AVAILABLE,NON-PROFIT,-999,15,15,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PROMEDICA BIXBY HOSPITAL,NOT AVAILABLE,1824,6949221,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,88,88,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SPARROW HEALTH SYSTEM-ST LAWRENCE CAMPUS,NOT AVAILABLE,1825,2548915,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,50,50,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ASCENSION STANDISH COMMUNITY HOSPITAL,NOT AVAILABLE,1826,1748658,OPEN,CRITICAL ACCESS,NOT AVAILABLE,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
NORTH OTTAWA COMMUNITY HOSPITAL,NOT AVAILABLE,1827,11749417,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,81,81,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
STRAITH HOSPITAL FOR SPECIAL SURGERY,NOT AVAILABLE,1828,9848033,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,34,34,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
OAKLAND REGIONAL HOSPITAL,NOT AVAILABLE,1829,10848075,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,45,45,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
"LAKELAND HOSPITAL, ST JOSEPH",NOT AVAILABLE,1830,2749085,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,215,215,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
"LAKELAND HOSPITAL, NILES",NOT AVAILABLE,1831,3149120,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,76,76,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,NOT AVAILABLE,1832,3349036,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,96,96,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BRONSON BATTLE CREEK HOSPITAL,NOT AVAILABLE,1833,549017,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,189,189,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MEMORIAL HEALTHCARE,NOT AVAILABLE,1834,13648867,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,107,107,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HILLS & DALES GENERAL HOSPITAL,NOT AVAILABLE,1835,13748726,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST JOSEPH MERCY HOSPITAL,NOT AVAILABLE,1836,14248106,OPEN,GENERAL ACUTE CARE,LEVEL II,NON-PROFIT,-999,513,513,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ST JOSEPH MERCY CHELSEA,CHELSEA COMMUNITY HOSPITAL,1837,14348118,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,102,102,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MCLAREN GREATER LANSING,NOT AVAILABLE,1838,2848910,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,322,322,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BEAUMONT HOSPITAL DEARBORN,OAKWOOD HOSPITAL DEARBORN,1839,14748124,OPEN,GENERAL ACUTE CARE,LEVEL II,NON-PROFIT,-999,632,632,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SINAI-GRACE HOSPITAL,NOT AVAILABLE,1840,14848235,OPEN,GENERAL ACUTE CARE,LEVEL II,NON-PROFIT,-999,383,383,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BEAUMONT HOSPITAL GROSSE POINTE,NOT AVAILABLE,1841,15048230,OPEN,GENERAL ACUTE CARE,LEVEL III,NON-PROFIT,-999,250,250,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HARPER UNIVERSITY HOSPITAL,NOT AVAILABLE,1842,15148201,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,470,470,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
METRO HEALTH HOSPITAL,NOT AVAILABLE,1843,6249519,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,208,208,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ASPIRUS IRON RIVER HOSPITAL & CLINICS,NOT AVAILABLE,1844,5549935,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BELL MEMORIAL HOSPITAL,NOT AVAILABLE,1845,7849849,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PROVIDENCE - PARK HOSPITAL,NOT AVAILABLE,1846,62,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,244,244,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KINDRED HOSPITAL DETROIT,NOT AVAILABLE,1847,16648234,OPEN,LONG TERM CARE,NOT AVAILABLE,PROPRIETARY,-999,77,77,N,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
NORTH SHORE HEALTH,COOK CO NORTHSHORE HOSP,1848,12555604,OPEN,CRITICAL ACCESS,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,16,16,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MCLAREN NORTHERN MICHIGAN,NOT AVAILABLE,1849,4549770,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,178,178,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
TRACE REGIONAL HOSPITAL,NOT AVAILABLE,1850,1838851,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,84,84,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ALBANY AREA HOSPITAL & MED CTR,NOT AVAILABLE,1851,12356307,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,17,17,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
DEER RIVER HEALTH CARE CENTER,NOT AVAILABLE,1852,11856636,OPEN,CRITICAL ACCESS,NOT AVAILABLE,NON-PROFIT,-999,22,22,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ALOMERE HEALTH,NOT AVAILABLE,1853,2656308,OPEN,GENERAL ACUTE CARE,LEVEL III,GOVERNMENT - LOCAL,-999,127,127,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HEALTHEAST BETHESDA HOSPITAL,NOT AVAILABLE,1854,1955103,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,254,254,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HEALTHEAST ST JOHNS HOSPITAL,NOT AVAILABLE,1855,2055109,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,192,192,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LAKESIDE MEDICAL CENTER,NOT AVAILABLE,1856,13455063,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,10,10,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
NORTH VALLEY HEALTH CENTER,NOT AVAILABLE,1857,14256762,OPEN,CRITICAL ACCESS,NOT AVAILABLE,NON-PROFIT,-999,12,12,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SANFORD MED CTR THIEF RVR FALL,NOT AVAILABLE,1858,14556701,OPEN,CRITICAL ACCESS,NOT AVAILABLE,NON-PROFIT,-999,26,26,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SANFORD WORTHINGTON MEDICAL CE,NOT AVAILABLE,1859,6456187,OPEN,GENERAL ACUTE CARE,LEVEL III,NON-PROFIT,-999,48,48,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
WINDOM AREA HOSPITAL,NOT AVAILABLE,1860,7656101,OPEN,CRITICAL ACCESS,LEVEL IV,GOVERNMENT - LOCAL,-999,18,18,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MERCY HOSPITAL JOPLIN,NOT AVAILABLE,1861,7864801,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,341,341,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
KINDRED HOSPITAL - KANSAS CITY,NOT AVAILABLE,1862,4264131,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,167,167,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
TWO RIVERS BEHAVIORAL HEALTH SYSTEM,NOT AVAILABLE,1863,5564133,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,105,105,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
HEARTLAND BEHAVIORAL HEALTH SERVICES,NOT AVAILABLE,1864,16164772,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,69,69,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
LONG TERM ACUTE CARE HOSPITAL MOSAIC LIFE CARE AT ST. JOSEPH,HEARTLAND LONG TERM ACUTE CARE HOSPITAL,1865,364506,OPEN,LONG TERM CARE,LEVEL II,NON-PROFIT,-999,41,41,Y,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
MERCY HOSPITAL ST. LOUIS,NOT AVAILABLE,1866,14163128,OPEN,GENERAL ACUTE CARE,LEVEL I,NON-PROFIT,-999,859,859,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MERCY HOSPITAL SPRINGFIELD,NOT AVAILABLE,1867,2265804,OPEN,GENERAL ACUTE CARE,LEVEL I,NON-PROFIT,-999,866,866,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VA MEDICAL CENTER - JEFFERSON BARRACKS DIVISION,NOT AVAILABLE,1868,8463125,OPEN,MILITARY,NOT AVAILABLE,GOVERNMENT - FEDERAL,-999,355,355,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
GOLDEN VALLEY MEMORIAL HOSPITAL,NOT AVAILABLE,1869,2764735,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,56,56,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SWEDISH COVENANT HOSPITAL,NOT AVAILABLE,1870,5460625,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,279,279,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
PINNACLE REGIONAL HOSPITAL,NOT AVAILABLE,1871,4365233,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,70,70,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SSM HEALTH DEPAUL HEALTH CENTER,NOT AVAILABLE,1872,12663044,OPEN,GENERAL ACUTE CARE,LEVEL II,NON-PROFIT,-999,507,507,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HAWTHORN CHILDREN'S PSYCHIATRIC HOSPITAL,NOT AVAILABLE,1873,13763133,OPEN,PSYCHIATRIC,NOT AVAILABLE,GOVERNMENT - STATE,-999,24,24,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
VERDE VALLEY MEDICAL CENTER - SEDONA CAMPUS,NOT AVAILABLE,1874,188586336,OPEN,GENERAL ACUTE CARE,LEVEL IV,NON-PROFIT,-999,-999,-999,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
SIGNATURE PSYCHIATRIC HOSPITAL,NOT AVAILABLE,1875,18164116,OPEN,PSYCHIATRIC,NOT AVAILABLE,PROPRIETARY,-999,24,24,Y,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
BILLINGS CLINIC,NOT AVAILABLE,1876,4859101,OPEN,GENERAL ACUTE CARE,RTC,NON-PROFIT,-999,304,304,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BAYHEALTH HOSPITAL SUSSEX CAMPUS,NOT AVAILABLE,1877,189219963,OPEN,GENERAL ACUTE CARE,LEVEL III,NON-PROFIT,-999,128,128,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BAPTIST MEDICAL CENTER YAZOO,KING'S DAUGHTERS HOSPITAL,1878,11639194,OPEN,CRITICAL ACCESS,LEVEL IV,NON-PROFIT,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
FRANKLIN COUNTY MEMORIAL HOSPITAL,NOT AVAILABLE,1879,2639653,OPEN,CRITICAL ACCESS,LEVEL IV,GOVERNMENT - LOCAL,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
TRIPLER ARMY MEDICAL CENTER,NOT AVAILABLE,1880,195696859,OPEN,MILITARY,LEVEL II,GOVERNMENT - FEDERAL,-999,450,450,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
INDIANHEAD MED CTR,NOT AVAILABLE,1881,13354871,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,25,25,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LADD MEMORIAL HOSPITAL,OSCEOLA MEDICAL CENTER,1882,151854020,OPEN,CRITICAL ACCESS,LEVEL IV,NOT AVAILABLE,-999,23,23,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
LAKEVIEW SPECIALTY HOSPITAL & REHAB CENTER,NOT AVAILABLE,1883,10953185,OPEN,LONG TERM CARE,NOT AVAILABLE,PROPRIETARY,-999,39,39,N,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
LIBERTAS GREEN BAY,NOT AVAILABLE,1884,2254303,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,24,24,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MARSHFEILD MEDICAL CENTER,NOT AVAILABLE,1885,15354449,OPEN,GENERAL ACUTE CARE,LEVEL II,NON-PROFIT,-999,504,504,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
MARSHFIELD MED CENTER - RICE LAKE,NOT AVAILABLE,1886,354868,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,40,40,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
GREENWOOD LEFLORE HOSPITAL,NOT AVAILABLE,1887,5838935,OPEN,GENERAL ACUTE CARE,LEVEL IV,GOVERNMENT - LOCAL,-999,208,208,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
FIELDSTONE CENTER,NOT AVAILABLE,1888,187249016,OPEN,PSYCHIATRIC,NOT AVAILABLE,NOT AVAILABLE,-999,-999,-999,N,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
BROADWATER HEALTH CENTER,NOT AVAILABLE,1889,2759644,OPEN,CRITICAL ACCESS,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,44,44,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE,NOT AVAILABLE,1890,12238701,OPEN,LONG TERM CARE,NOT AVAILABLE,PROPRIETARY,-999,39,39,N,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
CHOCTAW REGIONAL MEDICAL CENTER,NOT AVAILABLE,1891,12339735,OPEN,CRITICAL ACCESS,LEVEL IV,NON-PROFIT,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
FIELD MEMORIAL COMMUNITY HOSPITAL,NOT AVAILABLE,1892,12439631,OPEN,CRITICAL ACCESS,LEVEL IV,GOVERNMENT - LOCAL,-999,25,25,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HIGHLAND COMMUNITY HOSPITAL,NOT AVAILABLE,1893,12539466,OPEN,GENERAL ACUTE CARE,LEVEL IV,GOVERNMENT - LOCAL,-999,60,60,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
NOVANT HEALTH PRESPYTERIAN MEDICAL CENTER,PRESBYTERIAN MEDICAL CENTER,1894,2128233,OPEN,GENERAL ACUTE CARE,LEVEL III,NON-PROFIT,-999,661,661,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VIDANT BEAUFORT HOSPITAL,BEAUFORT COUNTY HOSPITAL,1895,3127889,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,142,142,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
"VALDESE GENERAL HOSPITAL, INC.",CAROLINAS HEALTHCARE SYSTEM BLUE RIDGE VALDESE,1896,11228690,CLOSED,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,131,131,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
VIDANTE EDGECOMBE HOSPITAL,NOT AVAILABLE,1897,7727886,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,117,117,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
ATRIUM HEALTH UNIVERSITY,CAROLINAS MEDICAL CENTER UNIVERSITY,1898,4528256,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - DISTRICT/AUTHORITY,-999,100,100,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
BETSY JOHNSON HOSPITAL,NOT AVAILABLE,1899,3328335,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,151,151,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
HALIFAX REGIONAL MEDICAL CENTER,NOT AVAILABLE,1900,7427870,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,206,206,Y,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
DUKE HEALTH RALEIGH HOSPITAL,NOT AVAILABLE,1901,6127611,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,NON-PROFIT,-999,186,186,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
CARTERET GENERAL HOSPITAL,NOT AVAILABLE,1902,4928557,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,GOVERNMENT - LOCAL,-999,135,135,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
FRYE REGIONAL MEDICAL CENTER,NOT AVAILABLE,1903,7028601,OPEN,GENERAL ACUTE CARE,NOT AVAILABLE,PROPRIETARY,-999,355,355,N,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
